track,proj,blk,stk,dist,reg,ten,floor,date,base_sqft,ph_sqft,extra,extra_pct,n_base,base_price,ph_price,base_psf,ph_psf,void_psf,ratio,headline_drop
newsale,AMBER 45,45 AMBER ROAD,03,15,Central Region,FH,21,2018-05-11,1593,1798,205,0.128,10,3943052,4200000,2475,2336,1256,0.5076,-0.056
newsale,AMBER 45,45 AMBER ROAD,05,15,Central Region,FH,21,2020-06-17,1346,1518,172,0.128,4,2982276,3100000,2216,2043,684,0.3084,-0.0785
newsale,AMBER 45,45 AMBER ROAD,07,15,Central Region,FH,21,2018-11-14,700,829,129,0.185,19,1783808,1800000,2550,2172,125,0.0492,-0.1482
newsale,AMO RESIDENCE,23 ANG MO KIO RISE,14,20,North East Region,LH,25,2022-07-23,1141,1367,226,0.198,23,2572416,2739000,2255,2004,737,0.3269,-0.1113
newsale,ARDOR RESIDENCE,181 HAIG ROAD,01,15,Central Region,FH,5,2025-02-26,1292,1507,215,0.167,3,3356640,3400000,2599,2256,201,0.0775,-0.1318
newsale,ARDOR RESIDENCE,181 HAIG ROAD,04,15,Central Region,FH,5,2025-06-10,1044,1249,205,0.196,3,2567047,2785000,2459,2230,1066,0.4335,-0.0928
newsale,ARENA RESIDENCES,20 GUILLEMARD CRESCENT,01,14,Central Region,FH,14,2019-12-27,818,1238,420,0.513,10,1539904,1670000,1882,1349,310,0.1646,-0.2833
newsale,ARENA RESIDENCES,20 GUILLEMARD CRESCENT,04,14,Central Region,FH,14,2019-09-03,807,1238,431,0.533,3,1536120,1680000,1903,1357,334,0.1756,-0.2867
newsale,ARENA RESIDENCES,20 GUILLEMARD CRESCENT,05,14,Central Region,FH,14,2018-11-11,807,1238,431,0.533,7,1503992,1636000,1863,1322,307,0.1646,-0.2906
newsale,ARENA RESIDENCES,20 GUILLEMARD CRESCENT,07,14,Central Region,FH,14,2018-12-23,549,850,301,0.549,9,1034288,1130000,1884,1329,318,0.1685,-0.2947
newsale,ARENA RESIDENCES,20 GUILLEMARD CRESCENT,08,14,Central Region,FH,14,2019-01-29,883,1324,441,0.5,6,1649832,1744000,1869,1317,213,0.1142,-0.2953
newsale,ARINA EAST RESIDENCES,6C TANJONG RHU ROAD,03,15,Central Region,FH,18,2025-10-17,861,969,108,0.125,8,2522192,2905000,2929,2999,3556,1.2142,0.0238
newsale,AVENUE SOUTH RESIDENCE,11 SILAT AVENUE,27,03,Central Region,LH,56,2019-10-19,1109,1302,194,0.175,22,2483484,2704000,2240,2076,1138,0.5081,-0.0732
newsale,AVENUE SOUTH RESIDENCE,11 SILAT AVENUE,31,03,Central Region,LH,56,2021-01-29,1496,1668,172,0.115,14,3283124,3468000,2194,2079,1073,0.4892,-0.0527
newsale,AVENUE SOUTH RESIDENCE,11 SILAT AVENUE,32,03,Central Region,LH,56,2022-04-04,732,883,151,0.206,13,1745220,1861000,2384,2108,768,0.3222,-0.1157
newsale,AVENUE SOUTH RESIDENCE,11 SILAT AVENUE,36,03,Central Region,LH,56,2022-04-02,947,1119,172,0.182,23,2216544,2381000,2340,2127,955,0.4081,-0.0911
newsale,AVENUE SOUTH RESIDENCE,13 SILAT AVENUE,37,03,Central Region,LH,56,2020-01-03,1496,1668,172,0.115,4,3351752,3519000,2240,2109,971,0.4335,-0.0585
newsale,AVENUE SOUTH RESIDENCE,13 SILAT AVENUE,41,03,Central Region,LH,56,2021-09-18,1109,1302,194,0.175,24,2541160,2769000,2292,2126,1176,0.5131,-0.0724
newsale,AVENUE SOUTH RESIDENCE,13 SILAT AVENUE,42,03,Central Region,LH,56,2022-03-30,947,1119,172,0.182,16,2205490,2357000,2328,2105,880,0.3778,-0.0957
newsale,AVENUE SOUTH RESIDENCE,13 SILAT AVENUE,46,03,Central Region,LH,56,2022-03-27,732,883,151,0.206,7,1761984,1861000,2407,2108,657,0.2729,-0.1241
newsale,BARTLEY VUE,6 JALAN BUNGA RAMPAI,01,19,Central Region,LH,16,2024-08-19,1066,1270,205,0.192,8,2237514,2503000,2100,1971,1298,0.6183,-0.0615
newsale,BARTLEY VUE,6 JALAN BUNGA RAMPAI,02,19,Central Region,LH,16,2022-09-11,1356,1539,183,0.135,8,2577396,2797000,1900,1817,1200,0.6315,-0.0438
newsale,BARTLEY VUE,8 JALAN BUNGA RAMPAI,08,19,Central Region,LH,16,2025-02-19,1044,1259,215,0.206,3,2229984,2494000,2136,1980,1226,0.5742,-0.0728
newsale,BLOOMSBURY RESIDENCES,65 MEDIA CIRCLE,17,05,Central Region,LH,21,2025-04-11,1421,2131,710,0.5,4,3825300,5753700,2692,2700,2714,1.0082,0.0027
newsale,BLOSSOMS BY THE PARK,9 SLIM BARRACKS RISE,01,05,Central Region,LH,27,2024-08-26,1044,1227,183,0.175,8,2687506,2750000,2574,2241,342,0.1327,-0.1293
newsale,BLOSSOMS BY THE PARK,9 SLIM BARRACKS RISE,02,05,Central Region,LH,27,2023-07-17,915,1033,118,0.129,22,2363056,2548000,2583,2466,1562,0.6048,-0.0453
newsale,BLOSSOMS BY THE PARK,9 SLIM BARRACKS RISE,03,05,Central Region,LH,27,2024-04-26,915,1033,118,0.129,8,2437080,2538000,2664,2456,852,0.32,-0.0779
newsale,BLOSSOMS BY THE PARK,9 SLIM BARRACKS RISE,04,05,Central Region,LH,27,2023-04-29,678,829,151,0.222,24,1701516,1857000,2509,2241,1032,0.4112,-0.1071
newsale,BLOSSOMS BY THE PARK,9 SLIM BARRACKS RISE,06,05,Central Region,LH,27,2026-05-06,1507,1884,377,0.25,16,3776274,3800000,2506,2017,63,0.0251,-0.195
newsale,BLOSSOMS BY THE PARK,9 SLIM BARRACKS RISE,07,05,Central Region,LH,27,2024-02-20,1302,1539,237,0.182,8,3384368,3508000,2598,2279,522,0.2009,-0.1229
newsale,BLOSSOMS BY THE PARK,9 SLIM BARRACKS RISE,08,05,Central Region,LH,27,2023-04-29,549,689,140,0.255,24,1454768,1592000,2650,2311,981,0.3701,-0.128
newsale,BLOSSOMS BY THE PARK,9 SLIM BARRACKS RISE,09,05,Central Region,LH,27,2023-11-09,721,872,151,0.209,24,1893250,2094000,2625,2402,1332,0.5075,-0.0851
newsale,BLOSSOMS BY THE PARK,9 SLIM BARRACKS RISE,10,05,Central Region,LH,27,2023-04-30,678,829,151,0.222,24,1786036,1976000,2634,2384,1261,0.4786,-0.0948
newsale,BLOSSOMS BY THE PARK,9 SLIM BARRACKS RISE,11,05,Central Region,LH,27,2023-04-29,1076,1259,183,0.17,23,2776228,2989000,2579,2373,1163,0.4508,-0.0798
newsale,BOTANIQUE AT BARTLEY,221 UPPER PAYA LEBAR ROAD,01,19,North East Region,LH,17,2015-05-05,1066,1270,205,0.192,13,1459248,1514000,1369,1192,268,0.1955,-0.1295
newsale,BOTANIQUE AT BARTLEY,221 UPPER PAYA LEBAR ROAD,02,19,North East Region,LH,17,2015-06-08,753,958,205,0.271,14,951276,1005000,1263,1049,263,0.2081,-0.1691
newsale,BOTANIQUE AT BARTLEY,221 UPPER PAYA LEBAR ROAD,03,19,North East Region,LH,17,2015-06-29,1033,1238,205,0.198,11,1423464,1463000,1378,1182,193,0.1403,-0.142
newsale,BOTANIQUE AT BARTLEY,221 UPPER PAYA LEBAR ROAD,04,19,North East Region,LH,17,2015-04-30,743,861,118,0.159,12,991370,997000,1335,1158,48,0.0356,-0.1326
newsale,BOTANIQUE AT BARTLEY,223 UPPER PAYA LEBAR ROAD,05,19,North East Region,LH,17,2015-07-05,958,1163,205,0.213,14,1250284,1306000,1305,1123,272,0.2087,-0.1392
newsale,BOTANIQUE AT BARTLEY,223 UPPER PAYA LEBAR ROAD,07,19,North East Region,LH,17,2015-06-02,926,1130,205,0.221,14,1232156,1292000,1331,1143,293,0.2198,-0.1412
newsale,BOTANIQUE AT BARTLEY,225 UPPER PAYA LEBAR ROAD,09,19,North East Region,LH,17,2015-05-04,1066,1270,205,0.192,7,1440040,1492000,1351,1175,254,0.188,-0.1307
newsale,BOTANIQUE AT BARTLEY,225 UPPER PAYA LEBAR ROAD,10,19,North East Region,LH,17,2015-05-19,732,850,118,0.162,15,982016,997000,1342,1172,127,0.0943,-0.1261
newsale,BOTANIQUE AT BARTLEY,225 UPPER PAYA LEBAR ROAD,11,19,North East Region,LH,17,2015-06-07,1033,1238,205,0.198,5,1416212,1486000,1371,1200,341,0.249,-0.1241
